,country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11,Croatia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,19.0,33.0,48.0,56.0,58.0
12,Denmark,Hydropower,10.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0
13,Denmark,Wind,2390.0,2498.0,2892.0,3117.0,3125.0,3127.0,3135.0,3124.0,3163.0,3482.0,3802.0,3952.0,4163.0,4810.0,4887.0,5076.0,5246.0,5521.0
14,Denmark,Solar,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,7.0,17.0,402.0,571.0,607.0,782.0,851.0,906.0
15,Estonia,Hydropower,2.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,6.0,5.0,8.0,8.0,5.0,6.0,6.0,6.0
16,Estonia,Wind,0.0,0.0,1.0,3.0,7.0,31.0,31.0,50.0,77.0,104.0,108.0,180.0,266.0,248.0,275.0,300.0,310.0,310.0
17,Estonia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,1.5,3.3,6.5,11.0,11.0
18,Finland,Hydropower,2882.0,2926.0,2964.0,2966.0,2999.0,3035.0,3062.0,3102.0,3122.0,3145.0,3155.0,3196.0,3196.0,3224.0,3248.0,3249.0,3249.0,3285.0
19,Finland,Wind,38.0,39.0,43.0,52.0,82.0,82.0,86.0,110.0,143.0,147.0,197.0,199.0,257.0,447.0,627.0,1005.0,1565.0,1995.0
20,Finland,Solar,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,11.0,15.0,35.0,50.0
21,France,Hydropower,25154.0,25179.0,25278.0,25230.0,25117.0,25130.0,25142.0,25155.0,25120.0,25208.0,25425.0,25372.0,25390.0,25381.0,25315.0,25299.0,25517.0,25519.5
22,France,Wind,38.0,66.0,138.0,218.0,358.0,690.0,1412.0,2223.0,3403.0,4582.0,5912.0,6679.0,7517.0,8202.0,9068.0,10217.0,11467.0,13113.0
23,France,Solar,7.0,7.0,8.0,9.0,11.0,13.0,15.0,26.0,80.0,277.0,1044.0,2787.0,4012.0,4929.0,5669.0,6755.0,7320.0,8195.0
24,Germany,Hydropower,9485.0,9393.0,9589.0,9493.0,10313.0,10858.0,10842.0,10833.0,10805.0,11238.0,11218.0,11436.0,11257.0,11240.0,11234.0,11399.0,11300.0,11307.0
25,Germany,Wind,6095.0,8754.0,12001.0,14381.0,16419.0,18248.0,20474.0,22116.0,22794.0,25732.0,26903.0,28712.0,30979.0,33477.0,38614.0,44580.0,49592.0,55876.0
26,Germany,Solar,114.0,195.0,260.0,435.0,1105.0,2056.0,2899.0,4170.0,6120.0,10567.0,18007.0,25917.0,34077.0,36711.0,37900.0,39245.0,40716.0,42396.0
27,Greece,Hydropower,3072.0,3076.0,3078.0,3079.0,3099.0,3106.0,3134.0,3150.0,3176.0,3201.0,3215.0,3224.0,3236.0,3238.0,3389.0,3392.0,3392.0,3394.0
28,Greece,Wind,226.0,270.0,287.0,371.0,470.0,491.0,749.0,846.0,1022.0,1171.0,1298.0,1640.0,1753.0,1809.0,1978.0,2091.0,2370.0,2652.0
29,Greece,Solar,0.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,12.0,46.0,202.0,612.0,1536.0,2579.0,2596.0,2604.0,2604.0,2604.0
30,Hungary,Hydropower,48.0,48.0,48.0,54.0,49.0,49.0,49.0,49.0,51.0,53.0,53.0,55.0,56.0,57.0,57.0,57.0,57.0,57.0
31,Hungary,Wind,0.0,1.0,1.0,3.0,3.0,17.0,33.0,61.0,134.0,203.0,293.0,331.0,325.0,329.0,329.0,329.0,329.0,329.0
32,Hungary,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,12.0,35.0,77.0,168.0,220.0,300.0
33,Ireland,Hydropower,528.0,530.0,532.0,532.0,532.0,526.0,526.0,526.0,526.0,526.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0
34,Ireland,Wind,119.0,126.0,138.0,214.0,342.0,517.0,749.0,980.0,1030.0,1266.0,1374.0,1631.0,1764.0,1941.0,2211.0,2440.0,2827.0,3253.0
35,Ireland,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,10.0
36,Italy,Hydropower,20346.0,20434.0,20514.0,20660.0,20744.0,20993.0,21072.0,21117.0,21276.0,21371.0,21520.0,21737.0,21880.0,22009.0,22098.0,22220.0,22298.0,22447.0
37,Italy,Wind,363.0,664.0,780.0,874.0,1127.0,1635.0,1902.0,2702.0,3525.0,4879.0,5794.0,6918.0,8102.0,8542.0,8683.0,9137.0,9384.0,9636.0
38,Italy,Solar,19.0,20.0,22.0,26.0,31.0,34.0,45.0,110.0,483.0,1264.0,3596.7,13135.7,16789.7,18190.1,18600.1,18907.1,19289.1,19698.1
39,Latvia,Hydropower,1513.0,1523.0,1529.0,1537.0,1536.0,1536.0,1536.0,1536.0,1536.0,1536.0,1576.0,1576.0,1576.0,1589.0,1590.0,1589.0,1565.0,1565.0
40,Latvia,Wind,2.0,2.0,22.0,26.0,26.0,26.0,26.0,26.0,28.0,29.0,30.0,36.0,59.0,67.0,69.0,69.0,70.0,77.0
41,Latvia,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.7,0.7
42,Lithuania,Hydropower,863.0,863.0,863.0,869.0,870.0,877.0,877.0,875.0,875.0,876.0,876.0,876.0,876.0,876.0,877.0,877.0,877.0,877.0
43,Lithuania,Wind,0.0,0.0,0.0,0.0,1.0,1.0,31.0,47.0,54.0,98.0,133.0,202.0,275.0,279.0,288.0,436.0,509.0,509.0
44,Lithuania,Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,7.0,68.0,69.0,69.0,70.0,82.0
45,Luxembourg,Hydropower,1133.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1134.0,1330.0,1330.0,1330.0,1330.0
46,Luxembourg,Wind,14.0,14.0,14.0,21.0,35.0,35.0,35.0,35.0,43.0,43.0,44.0,45.0,58.0,58.0,58.0,64.0,120.0,120.0
47,Luxembourg,Solar,0.0,0.0,2.0,14.0,24.0,24.0,24.0,24.0,25.0,26.0,29.0,41.0,75.0,95.0,110.0,116.0,122.0,122.0
